Date,Close,Volume,Open,High,Low
03/25/2022,52.56,19137750,51.47,52.59,51.41
03/24/2022,51.33,19677770,51.71,51.815,50.905
03/23/2022,51.12,27988680,52.76,53.05,51.095
03/22/2022,53.39,28625570,52.41,54.2,52.3
03/21/2022,51.14,23411540,51.66,51.8001,50.6099
03/18/2022,51.42,60963400,50.85,51.54,50.035
03/17/2022,51.48,29930250,51.02,51.49,50.225
03/16/2022,51.6,34672820,51.05,52.215,50.725
03/15/2022,50.11,25080550,50.16,50.63,49.33
03/14/2022,49.86,28166600,49.66,50.3771,49.295
03/11/2022,48.47,23707060,49.67,50,48.43
03/10/2022,49.01,26178780,48.26,49.57,47.85
03/09/2022,49.16,34560190,48.79,49.75,48.35
03/08/2022,46.46,60018110,46.68,48.2,46.35
03/07/2022,45.81,56332480,48.58,48.58,45.77
03/04/2022,48.79,35895280,50.04,50.0582,48.175
03/03/2022,51.24,24159710,52.35,52.56,50.94
03/02/2022,52.22,34894300,51.32,52.815,51
03/01/2022,50.29,54135520,52.435,52.72,50.01
02/28/2022,53.37,31094790,52.63,53.4,52.21
02/25/2022,54.11,27493470,53.17,54.44,53.09
02/24/2022,52.71,40917570,51.76,52.83,50.675
02/23/2022,53.95,21860660,55.85,56.02,53.7599
02/22/2022,55.28,26887770,55.57,56.12,54.697
02/18/2022,55.63,22137850,56.15,56.72,55.37
02/17/2022,56.15,24946480,57.15,57.53,55.755
02/16/2022,58.14,22057180,57.91,58.88,57.55
02/15/2022,58.38,18230310,59.12,59.315,58.09
02/14/2022,57.85,32680510,58.51,58.65,57.18
02/11/2022,58.31,38650500,58.52,60.24,57.91
02/10/2022,59.05,36092030,59.55,60.3,58.8
02/09/2022,59.06,25883080,58.7,59.38,58.34
02/08/2022,58.75,39099620,58,58.9827,57.8
02/07/2022,57.33,37480070,56.41,57.885,55.91
02/04/2022,56.33,33622140,56.04,57.04,55.47
02/03/2022,55.17,25227380,55.84,56.285,54.725
02/02/2022,55.93,29037130,55.27,56.05,54.96
02/01/2022,55.6,35870230,54.72,55.805,53.99
01/31/2022,53.8,34657460,53.82,54.0504,53.03
01/28/2022,54.19,35519700,53.61,54.22,52.77
01/27/2022,53.76,34218490,54.6,55.505,53.23
01/26/2022,54.14,39687070,53.91,54.92,53.43
01/25/2022,53.59,40858670,52.67,53.73,51.55
01/24/2022,53.32,48559390,52.73,53.49,51.18
01/21/2022,53.67,38357590,54.5,55,53.13
01/20/2022,55,26972810,55.72,56.38,54.91
01/19/2022,55.57,34970170,57.11,57.675,55.47
01/18/2022,56.69,41696460,57.715,58.11,56.505
01/14/2022,58.06,56739620,56.85,58.87,56.39
01/13/2022,56,34037310,56.6,57.18,55.76
01/12/2022,56.4,34159380,56.41,56.705,55.76
01/11/2022,56.06,25073740,55.56,56.13,55.23
01/10/2022,55.35,34733480,55.5,56.0573,54.48
01/07/2022,54.77,35149260,53.86,55.19,53.8
01/06/2022,53.63,29720780,53.15,53.67,52.66
01/05/2022,52.29,35072560,52.92,53.14,51.995
01/04/2022,52.75,43855110,51.58,53.145,51.52
01/03/2022,50.73,38987830,48.93,50.81,48.915
12/31/2021,47.98,12649300,48.03,48.36,47.84
12/30/2021,48.1,13701310,48.49,48.905,48.04
12/29/2021,48.45,14390710,48.6,48.855,48.37
12/28/2021,48.42,14326460,48.56,49.191,48.36
12/27/2021,48.77,11900420,48.55,48.815,48.08
12/23/2021,48.36,16025620,48.4,48.93,48.22
